"treatment"	"h"	"p"	"repl"	"complianceRate"	"observedCompliance"
"1"	0	0	0	1	0.648	0.546240851630073
"2"	0	0	0	2	0.658	0.546240851630073
"3"	0	0	0	3	0.618	0.546240851630073
"4"	0	0	0	4	0.622	0.546240851630073
"5"	0	0	0	5	0.638	0.546240851630073
"6"	0	0	0	6	0.632	0.546240851630073
"7"	0	0	0	7	0.628	0.546240851630073
"8"	0	0	0	8	0.63	0.546240851630073
"9"	0	0	0	9	0.628	0.546240851630073
"10"	0	0	0	10	0.64	0.546240851630073
"11"	0	0	0	11	0.642	0.546240851630073
"12"	0	0	0	12	0.612	0.546240851630073
"13"	0	0	0	13	0.608	0.546240851630073
"14"	0	0	0	14	0.634	0.546240851630073
"15"	0	0	0	15	0.61	0.546240851630073
"16"	0	0	0	16	0.648	0.546240851630073
"17"	0	0	0	17	0.61	0.546240851630073
"18"	0	0	0	18	0.624	0.546240851630073
"19"	0	0	0	19	0.642	0.546240851630073
"20"	0	0	0	20	0.6	0.546240851630073
"21"	0	0	0	21	0.618	0.546240851630073
"22"	0	0	0	22	0.64	0.546240851630073
"23"	0	0	0	23	0.678	0.546240851630073
"24"	0	0	0	24	0.622	0.546240851630073
"25"	0	0	0	25	0.632	0.546240851630073
"26"	0	0	0	26	0.592	0.546240851630073
"27"	0	0	0	27	0.65	0.546240851630073
"28"	0	0	0	28	0.648	0.546240851630073
"29"	0	0	0	29	0.65	0.546240851630073
"30"	0	0	0	30	0.626	0.546240851630073
"31"	0	0	0	31	0.672	0.546240851630073
"32"	0	0	0	32	0.604	0.546240851630073
"33"	0	0	0	33	0.628	0.546240851630073
"34"	0	0	0	34	0.64	0.546240851630073
"35"	0	0	0	35	0.626	0.546240851630073
"36"	0	0	0	36	0.626	0.546240851630073
"37"	0	0	0	37	0.648	0.546240851630073
"38"	0	0	0	38	0.592	0.546240851630073
"39"	0	0	0	39	0.626	0.546240851630073
"40"	0	0	0	40	0.628	0.546240851630073
"41"	0	0	0	41	0.666	0.546240851630073
"42"	0	0	0	42	0.632	0.546240851630073
"43"	0	0	0	43	0.596	0.546240851630073
"44"	0	0	0	44	0.622	0.546240851630073
"45"	0	0	0	45	0.596	0.546240851630073
"46"	0	0	0	46	0.65	0.546240851630073
"47"	0	0	0	47	0.61	0.546240851630073
"48"	0	0	0	48	0.638	0.546240851630073
"49"	0	0	0	49	0.616	0.546240851630073
"50"	0	0	0	50	0.604	0.546240851630073
"51"	0	0	0	51	0.624	0.546240851630073
"52"	0	0	0	52	0.644	0.546240851630073
"53"	0	0	0	53	0.632	0.546240851630073
"54"	0	0	0	54	0.62	0.546240851630073
"55"	0	0	0	55	0.63	0.546240851630073
"56"	0	0	0	56	0.59	0.546240851630073
"57"	0	0	0	57	0.608	0.546240851630073
"58"	0	0	0	58	0.568	0.546240851630073
"59"	0	0	0	59	0.642	0.546240851630073
"60"	0	0	0	60	0.64	0.546240851630073
"61"	0	0	0	61	0.642	0.546240851630073
"62"	0	0	0	62	0.626	0.546240851630073
"63"	0	0	0	63	0.604	0.546240851630073
"64"	0	0	0	64	0.628	0.546240851630073
"65"	0	0	0	65	0.632	0.546240851630073
"66"	0	0	0	66	0.632	0.546240851630073
"67"	0	0	0	67	0.62	0.546240851630073
"68"	0	0	0	68	0.654	0.546240851630073
"69"	0	0	0	69	0.63	0.546240851630073
"70"	0	0	0	70	0.6	0.546240851630073
"71"	0	0	0	71	0.624	0.546240851630073
"72"	0	0	0	72	0.594	0.546240851630073
"73"	0	0	0	73	0.634	0.546240851630073
"74"	0	0	0	74	0.618	0.546240851630073
"75"	0	0	0	75	0.62	0.546240851630073
"76"	0	0	0	76	0.688	0.546240851630073
"77"	0	0	0	77	0.638	0.546240851630073
"78"	0	0	0	78	0.584	0.546240851630073
"79"	0	0	0	79	0.602	0.546240851630073
"80"	0	0	0	80	0.64	0.546240851630073
"81"	0	0	0	81	0.62	0.546240851630073
"82"	0	0	0	82	0.592	0.546240851630073
"83"	0	0	0	83	0.558	0.546240851630073
"84"	0	0	0	84	0.612	0.546240851630073
"85"	0	0	0	85	0.622	0.546240851630073
"86"	0	0	0	86	0.62	0.546240851630073
"87"	0	0	0	87	0.614	0.546240851630073
"88"	0	0	0	88	0.638	0.546240851630073
"89"	0	0	0	89	0.618	0.546240851630073
"90"	0	0	0	90	0.63	0.546240851630073
"91"	0	0	0	91	0.624	0.546240851630073
"92"	0	0	0	92	0.638	0.546240851630073
"93"	0	0	0	93	0.66	0.546240851630073
"94"	0	0	0	94	0.654	0.546240851630073
"95"	0	0	0	95	0.634	0.546240851630073
"96"	0	0	0	96	0.678	0.546240851630073
"97"	0	0	0	97	0.626	0.546240851630073
"98"	0	0	0	98	0.646	0.546240851630073
"99"	0	0	0	99	0.63	0.546240851630073
"100"	0	0	0	100	0.604	0.546240851630073
"101"	0	0	0.05	1	0.626	0.546240851630073
"102"	0	0	0.05	2	0.588	0.546240851630073
"103"	0	0	0.05	3	0.644	0.546240851630073
"104"	0	0	0.05	4	0.622	0.546240851630073
"105"	0	0	0.05	5	0.612	0.546240851630073
"106"	0	0	0.05	6	0.646	0.546240851630073
"107"	0	0	0.05	7	0.606	0.546240851630073
"108"	0	0	0.05	8	0.622	0.546240851630073
"109"	0	0	0.05	9	0.626	0.546240851630073
"110"	0	0	0.05	10	0.634	0.546240851630073
"111"	0	0	0.05	11	0.6	0.546240851630073
"112"	0	0	0.05	12	0.586	0.546240851630073
"113"	0	0	0.05	13	0.61	0.546240851630073
"114"	0	0	0.05	14	0.632	0.546240851630073
"115"	0	0	0.05	15	0.624	0.546240851630073
"116"	0	0	0.05	16	0.618	0.546240851630073
"117"	0	0	0.05	17	0.642	0.546240851630073
"118"	0	0	0.05	18	0.594	0.546240851630073
"119"	0	0	0.05	19	0.624	0.546240851630073
"120"	0	0	0.05	20	0.65	0.546240851630073
"121"	0	0	0.05	21	0.646	0.546240851630073
"122"	0	0	0.05	22	0.596	0.546240851630073
"123"	0	0	0.05	23	0.602	0.546240851630073
"124"	0	0	0.05	24	0.634	0.546240851630073
"125"	0	0	0.05	25	0.608	0.546240851630073
"126"	0	0	0.05	26	0.636	0.546240851630073
"127"	0	0	0.05	27	0.598	0.546240851630073
"128"	0	0	0.05	28	0.62	0.546240851630073
"129"	0	0	0.05	29	0.646	0.546240851630073
"130"	0	0	0.05	30	0.598	0.546240851630073
"131"	0	0	0.05	31	0.616	0.546240851630073
"132"	0	0	0.05	32	0.606	0.546240851630073
"133"	0	0	0.05	33	0.622	0.546240851630073
"134"	0	0	0.05	34	0.622	0.546240851630073
"135"	0	0	0.05	35	0.602	0.546240851630073
"136"	0	0	0.05	36	0.618	0.546240851630073
"137"	0	0	0.05	37	0.646	0.546240851630073
"138"	0	0	0.05	38	0.63	0.546240851630073
"139"	0	0	0.05	39	0.648	0.546240851630073
"140"	0	0	0.05	40	0.6	0.546240851630073
"141"	0	0	0.05	41	0.598	0.546240851630073
"142"	0	0	0.05	42	0.622	0.546240851630073
"143"	0	0	0.05	43	0.598	0.546240851630073
"144"	0	0	0.05	44	0.59	0.546240851630073
"145"	0	0	0.05	45	0.626	0.546240851630073
"146"	0	0	0.05	46	0.638	0.546240851630073
"147"	0	0	0.05	47	0.61	0.546240851630073
"148"	0	0	0.05	48	0.642	0.546240851630073
"149"	0	0	0.05	49	0.602	0.546240851630073
"150"	0	0	0.05	50	0.57	0.546240851630073
"151"	0	0	0.05	51	0.604	0.546240851630073
"152"	0	0	0.05	52	0.616	0.546240851630073
"153"	0	0	0.05	53	0.644	0.546240851630073
"154"	0	0	0.05	54	0.616	0.546240851630073
"155"	0	0	0.05	55	0.614	0.546240851630073
"156"	0	0	0.05	56	0.65	0.546240851630073
"157"	0	0	0.05	57	0.616	0.546240851630073
"158"	0	0	0.05	58	0.608	0.546240851630073
"159"	0	0	0.05	59	0.63	0.546240851630073
"160"	0	0	0.05	60	0.638	0.546240851630073
"161"	0	0	0.05	61	0.618	0.546240851630073
"162"	0	0	0.05	62	0.64	0.546240851630073
"163"	0	0	0.05	63	0.614	0.546240851630073
"164"	0	0	0.05	64	0.588	0.546240851630073
"165"	0	0	0.05	65	0.622	0.546240851630073
"166"	0	0	0.05	66	0.638	0.546240851630073
"167"	0	0	0.05	67	0.612	0.546240851630073
"168"	0	0	0.05	68	0.586	0.546240851630073
"169"	0	0	0.05	69	0.63	0.546240851630073
"170"	0	0	0.05	70	0.648	0.546240851630073
"171"	0	0	0.05	71	0.624	0.546240851630073
"172"	0	0	0.05	72	0.618	0.546240851630073
"173"	0	0	0.05	73	0.656	0.546240851630073
"174"	0	0	0.05	74	0.638	0.546240851630073
"175"	0	0	0.05	75	0.636	0.546240851630073
"176"	0	0	0.05	76	0.652	0.546240851630073
"177"	0	0	0.05	77	0.65	0.546240851630073
"178"	0	0	0.05	78	0.604	0.546240851630073
"179"	0	0	0.05	79	0.644	0.546240851630073
"180"	0	0	0.05	80	0.588	0.546240851630073
"181"	0	0	0.05	81	0.59	0.546240851630073
"182"	0	0	0.05	82	0.664	0.546240851630073
"183"	0	0	0.05	83	0.608	0.546240851630073
"184"	0	0	0.05	84	0.614	0.546240851630073
"185"	0	0	0.05	85	0.608	0.546240851630073
"186"	0	0	0.05	86	0.646	0.546240851630073
"187"	0	0	0.05	87	0.648	0.546240851630073
"188"	0	0	0.05	88	0.648	0.546240851630073
"189"	0	0	0.05	89	0.62	0.546240851630073
"190"	0	0	0.05	90	0.598	0.546240851630073
"191"	0	0	0.05	91	0.62	0.546240851630073
"192"	0	0	0.05	92	0.63	0.546240851630073
"193"	0	0	0.05	93	0.62	0.546240851630073
"194"	0	0	0.05	94	0.654	0.546240851630073
"195"	0	0	0.05	95	0.634	0.546240851630073
"196"	0	0	0.05	96	0.642	0.546240851630073
"197"	0	0	0.05	97	0.612	0.546240851630073
"198"	0	0	0.05	98	0.664	0.546240851630073
"199"	0	0	0.05	99	0.636	0.546240851630073
"200"	0	0	0.05	100	0.668	0.546240851630073
"201"	0	0	0.1	1	0.548	0.546240851630073
"202"	0	0	0.1	2	0.638	0.546240851630073
"203"	0	0	0.1	3	0.626	0.546240851630073
"204"	0	0	0.1	4	0.62	0.546240851630073
"205"	0	0	0.1	5	0.608	0.546240851630073
"206"	0	0	0.1	6	0.626	0.546240851630073
"207"	0	0	0.1	7	0.614	0.546240851630073
"208"	0	0	0.1	8	0.594	0.546240851630073
"209"	0	0	0.1	9	0.616	0.546240851630073
"210"	0	0	0.1	10	0.636	0.546240851630073
"211"	0	0	0.1	11	0.62	0.546240851630073
"212"	0	0	0.1	12	0.622	0.546240851630073
"213"	0	0	0.1	13	0.652	0.546240851630073
"214"	0	0	0.1	14	0.608	0.546240851630073
"215"	0	0	0.1	15	0.644	0.546240851630073
"216"	0	0	0.1	16	0.636	0.546240851630073
"217"	0	0	0.1	17	0.582	0.546240851630073
"218"	0	0	0.1	18	0.628	0.546240851630073
"219"	0	0	0.1	19	0.588	0.546240851630073
"220"	0	0	0.1	20	0.592	0.546240851630073
"221"	0	0	0.1	21	0.648	0.546240851630073
"222"	0	0	0.1	22	0.61	0.546240851630073
"223"	0	0	0.1	23	0.6	0.546240851630073
"224"	0	0	0.1	24	0.606	0.546240851630073
